date_mutation,commune,code_postal,zone_toulon,numero_voie,type_voie,voie,adresse_complete,type_local,nombre_pieces,surface_reelle_bati,valeur_fonciere,prix_m2
13/01/2023,TOULON,83000,Centre / Littoral,67,RUE,MONSEIGNEUR FREPPEL,67 RUE MONSEIGNEUR FREPPEL,Maison,5.0,208.0,1126800.0,5417.31
03/02/2023,TOULON,83000,Centre / Littoral,267,BD,DOCTEUR CHARLES BARNIER,267 BD DOCTEUR CHARLES BARNIER,Appartement,6.0,128.0,250000.0,1953.12
07/02/2023,TOULON,83000,Centre / Littoral,366,AV,FRANCOIS CUZIN,366 AV FRANCOIS CUZIN,Appartement,3.0,67.0,181150.0,2703.73
13/02/2023,TOULON,83100,Est Toulon,100,BD,MEGE,100 BD MEGE,Appartement,3.0,61.0,199500.0,3270.49
08/02/2023,TOULON,83100,Est Toulon,170,BD,MEGE,170 BD MEGE,Appartement,3.0,53.0,148000.0,2792.45
07/02/2023,TOULON,83000,Centre / Littoral,26,AV,VAL FLEURI,26 AV VAL FLEURI,Appartement,3.0,68.0,166000.0,2441.18
02/02/2023,TOULON,83000,Centre / Littoral,16,RUE,COURBET,16 RUE COURBET,Appartement,1.0,31.0,120000.0,3870.97
31/01/2023,TOULON,83000,Centre / Littoral,10,RUE,DARIUS MILHAUD,10 RUE DARIUS MILHAUD,Appartement,4.0,83.0,147500.0,1777.11
31/01/2023,TOULON,83200,Ouest Toulon,118,VC,BEAU SEJOUR,118 VC BEAU SEJOUR,Maison,3.0,85.0,530000.0,6235.29
06/02/2023,TOULON,83000,Centre / Littoral,31,RUE,PAUL LENDRIN,31 RUE PAUL LENDRIN,Appartement,1.0,30.0,50000.0,1666.67
15/02/2023,TOULON,83000,Centre / Littoral,42,RUE,PRADIER,42 RUE PRADIER,Appartement,3.0,51.0,1000000.0,19607.84
15/02/2023,TOULON,83000,Centre / Littoral,42,RUE,PRADIER,42 RUE PRADIER,Appartement,3.0,51.0,1000000.0,19607.84
03/02/2023,TOULON,83200,Ouest Toulon,9002,RUE,DU MONT DES EAUX,9002 RUE DU MONT DES EAUX,Appartement,4.0,67.0,153000.0,2283.58
26/01/2023,TOULON,83100,Est Toulon,1030,AV,COLONEL PICOT,1030 AV COLONEL PICOT,Appartement,4.0,70.0,170000.0,2428.57
09/02/2023,TOULON,83100,Est Toulon,90,AV,AMIRAL DAVELUY,90 AV AMIRAL DAVELUY,Appartement,2.0,42.0,168000.0,4000.0
23/01/2023,TOULON,83200,Ouest Toulon,15,RUE,MARCEL SEMBAT,15 RUE MARCEL SEMBAT,Appartement,2.0,40.0,263000.0,6575.0
23/01/2023,TOULON,83200,Ouest Toulon,15,RUE,MARCEL SEMBAT,15 RUE MARCEL SEMBAT,Appartement,3.0,60.0,263000.0,4383.33
23/01/2023,TOULON,83200,Ouest Toulon,15,RUE,MARCEL SEMBAT,15 RUE MARCEL SEMBAT,Appartement,2.0,35.0,263000.0,7514.29
19/01/2023,TOULON,83200,Ouest Toulon,66,RUE,SAINTE ELISABETH,66 RUE SAINTE ELISABETH,Appartement,1.0,22.0,79000.0,3590.91
10/02/2023,TOULON,83200,Ouest Toulon,2,RUE,D ESPAGNE,2 RUE D ESPAGNE,Appartement,4.0,73.0,179000.0,2452.05
27/01/2023,TOULON,83000,Centre / Littoral,3,BD,PIERRE CURIE,3 BD PIERRE CURIE,Maison,2.0,35.0,740000.0,21142.86
27/01/2023,TOULON,83000,Centre / Littoral,3,BD,PIERRE CURIE,3 BD PIERRE CURIE,Maison,4.0,105.0,740000.0,7047.62
10/02/2023,TOULON,83200,Ouest Toulon,489,AV,DES ROUTES,489 AV DES ROUTES,Appartement,2.0,48.0,110000.0,2291.67
14/02/2023,TOULON,83100,Est Toulon,315,AV,EDOUARD BRANLY,315 AV EDOUARD BRANLY,Maison,5.0,168.0,819000.0,4875.0
08/02/2023,TOULON,83100,Est Toulon,18,RUE,REGIMBAUD,18 RUE REGIMBAUD,Appartement,3.0,53.0,119860.0,2261.51
13/02/2023,TOULON,83000,Centre / Littoral,377,AV,DE LA REPUBLIQUE,377 AV DE LA REPUBLIQUE,Appartement,1.0,28.0,40000.0,1428.57
13/02/2023,TOULON,83000,Centre / Littoral,377,AV,DE LA REPUBLIQUE,377 AV DE LA REPUBLIQUE,Appartement,1.0,45.0,40000.0,888.89
07/02/2023,TOULON,83100,Est Toulon,1172,AV,COLONEL PICOT,1172 AV COLONEL PICOT,Appartement,1.0,27.0,105000.0,3888.89
03/02/2023,TOULON,83200,Ouest Toulon,715,BD,LOUIS PICON,715 BD LOUIS PICON,Appartement,2.0,46.0,155000.0,3369.57
19/01/2023,TOULON,83200,Ouest Toulon,77,CHE,DE FORGENTIER,77 CHE DE FORGENTIER,Appartement,3.0,74.0,205000.0,2770.27
31/01/2023,TOULON,83000,Centre / Littoral,1143,BD,JEAN BAPTISTE ABEL,1143 BD JEAN BAPTISTE ABEL,Maison,6.0,105.0,237199.0,2259.04
01/02/2023,TOULON,83000,Centre / Littoral,7,MTE,JULES VERNE,7 MTE JULES VERNE,Appartement,3.0,80.0,338000.0,4225.0
30/01/2023,TOULON,83100,Est Toulon,54,AV,BELLEGARDE,54 AV BELLEGARDE,Appartement,2.0,49.0,147000.0,3000.0
24/01/2023,TOULON,83000,Centre / Littoral,73,RUE,LIEUTENANT JOSEPH ANDRE,73 RUE LIEUTENANT JOSEPH ANDRE,Appartement,3.0,87.0,415000.0,4770.11
23/01/2023,TOULON,83100,Est Toulon,166,ALL,GEORGES LEYGUES,166 ALL GEORGES LEYGUES,Appartement,3.0,61.0,150000.0,2459.02
